Temperatur, Messreihe #1
Zeit ( s )	Temperatur ( °C )
27,0000	-1,7
27,1000	-1,6
27,2000	-1,5
27,3000	-1,4
27,4000	-1,3
27,5000	-1,2
27,6000	-1,1
27,7000	-1,0
27,8000	-1,0
27,9000	-0,9
28,0000	-0,8
28,1000	-0,8
28,2000	-0,7
28,3000	-0,6
28,4000	-0,6
28,5000	-0,5
28,6000	-0,5
28,7000	-0,5
28,8000	-0,4
28,9000	-0,4
29,0000	-0,3
29,1000	-0,3
29,2000	-0,3
29,3000	-0,2
29,4000	-0,2
29,5000	-0,2
29,6000	-0,1
29,7000	-0,1
29,8000	-0,1
29,9000	-0,1
30,0000	-0,1
30,1000	0,0
30,2000	0,0
30,3000	0,0
30,4000	0,0
30,5000	0,0
30,6000	0,1
30,7000	0,1
30,8000	0,1
30,9000	0,1
31,0000	0,1
31,1000	0,1
31,2000	0,1
31,3000	0,1
31,4000	0,2
31,5000	0,2
31,6000	0,2
31,7000	0,2
31,8000	0,2
31,9000	0,2
32,0000	0,2
32,1000	0,2
32,2000	0,2
32,3000	0,2
32,4000	0,2
32,5000	0,2
32,6000	0,2
32,7000	0,3
32,8000	0,3
32,9000	0,3
33,0000	0,3
33,1000	0,3
33,2000	0,3
33,3000	0,3
33,4000	0,3
33,5000	0,3
33,6000	0,3
33,7000	0,3
33,8000	0,3
33,9000	0,3
34,0000	0,3
34,1000	0,3
34,2000	0,3
34,3000	0,3
34,4000	0,3
34,5000	0,3
34,6000	0,3
34,7000	0,3
34,8000	0,3
34,9000	0,3
35,0000	0,3
35,1000	0,3
35,2000	0,3
35,3000	0,3
35,4000	0,3
35,5000	0,3
35,6000	0,3
35,7000	0,3
35,8000	0,3
35,9000	0,3
36,0000	0,3
36,1000	0,3
36,2000	0,3
36,3000	0,3
36,4000	0,3
36,5000	0,3
36,6000	0,4
36,7000	0,4
36,8000	0,4
36,9000	0,4
37,0000	0,4
37,1000	0,4
37,2000	0,4
37,3000	0,4
37,4000	0,4
37,5000	0,4
37,6000	0,4
37,7000	0,4
37,8000	0,4
37,9000	0,4
38,0000	0,4
38,1000	0,4
38,2000	0,4
38,3000	0,4
38,4000	0,4
38,5000	0,4
38,6000	0,4
38,7000	0,4
38,8000	0,4
38,9000	0,4
39,0000	0,4
39,1000	0,4
39,2000	0,4
39,3000	0,4
39,4000	0,4
39,5000	0,4
39,6000	0,4
39,7000	0,4
39,8000	0,4
39,9000	0,4
40,0000	0,4
40,1000	0,4
40,2000	0,4
40,3000	0,4
40,4000	0,4
40,5000	0,4
40,6000	0,4
40,7000	0,4
40,8000	0,4
40,9000	0,4
41,0000	0,4
41,1000	0,4
41,2000	0,4
41,3000	0,4
41,4000	0,4
41,5000	0,4
41,6000	0,4
41,7000	0,4
41,8000	0,4
41,9000	0,4
42,0000	0,4
42,1000	0,4
42,2000	0,4
42,3000	0,4
42,4000	0,4
42,5000	0,4
42,6000	0,4
42,7000	0,4
42,8000	0,4
42,9000	0,4
43,0000	0,4
43,1000	0,4
43,2000	0,4
43,3000	0,4
43,4000	0,4
43,5000	0,4
43,6000	0,4
43,7000	0,4
43,8000	0,4
43,9000	0,4
44,0000	0,4
44,1000	0,4
44,2000	0,4
44,3000	0,4
44,4000	0,4
44,5000	0,4
44,6000	0,4
44,7000	0,4
44,8000	0,4
44,9000	0,4
45,0000	0,4
45,1000	0,4
45,2000	0,4
45,3000	0,4
45,4000	0,4
